rating_user_id,movieId,rating,predicted
432,77866,4.5,3.080562046
288,474,3,3.583492729
599,4351,3,3.131263721
42,2987,4,3.761474622
75,1610,4,3.712360365
51,177,4,2.649916061
354,51662,3.5,3.701381743
416,750,4.5,3.173929298
438,6503,0.5,2.517107926
73,8641,3.5,3.854202738
567,1203,4.5,3.511531742
391,1179,4,3.483819589
380,111362,5,4.004812291
305,55276,5,4.314711625
409,3868,4,3.426182485
307,6957,3.5,3.407767475
274,26736,4.5,
125,6952,3,3.282909359
561,1278,3.5,3.901611433
68,6953,2.5,3.332422167
525,50872,3.5,3.831342029
414,3847,2,
6,587,5,3.795047997
601,48394,4,4.27849974
325,32,4,3.934284136
82,5065,3,3.372695355
16,204,2,2.657795025
542,4816,1.5,3.35579197
32,39,3,3.200298328
140,2682,4,4
182,5643,3,3.674844188
89,42761,4.5,
359,541,1.5,3.59877495
183,1408,4,3.986874684
111,119155,3.5,3.556482165
80,2513,4,2.117218231
448,117590,2,3.638201216
514,1258,4,4.093248881
68,1101,3.5,3.155368194
325,80,4,4
509,1588,3.5,3.080530879
131,31,3,2.719011004
45,2355,5,3.919296266
156,3167,3,3.550032676
440,1199,4.5,4.157228049
312,5065,3,3.006244315
57,2102,4,1.628179678
603,2020,4,3.989144088
337,778,4,4.117656939
116,356,4,4.132061383
122,63113,4.5,4.103335154
201,185,3,3.661554148
167,318,5,4.286537128
139,60072,1.5,2.621496003
68,628,3.5,3.58652675
16,293,4,3.78056335
448,99992,3,
450,1073,4,4.287613831
178,380,4,3.633708562
599,59369,2.5,3.419891264
581,4226,4.5,4.271708274
215,1347,0.5,3.23955029
610,4228,3,1.981950829
81,288,3,2.820285084
414,2120,2,2
340,185,3,3.705289519
323,111443,2.5,
232,586,3,3.036309885
186,3740,3,4.181837854
28,1245,3.5,3.893700185
195,4067,4,3.01228363
414,86190,4,3.271939664
596,141131,2.5,
561,1394,4,3.991234487
602,448,3,3.380979042
202,2983,4,
195,553,4,3.783262696
200,44761,5,3.632296262
387,5296,1.5,3.043484961
514,104841,3,3.457464346
510,2710,1,2.485404401
290,2385,3,2
221,446,4.5,3.464528988
598,7361,5,3.766971424
596,4014,3.5,3.518243719
414,157699,4,3.810489832
34,31685,2,3.519656457
62,2115,4.5,3.900400645
448,105211,3.5,2.5
137,1242,4,4.132819108
438,2642,3,2.370585884
606,47538,2.5,
352,51662,4,3.856105248
572,3093,5,3.269704191
129,4878,2.5,4.065747375
279,164179,4,3.871864858
428,6365,3,2.831156923
152,858,5,4.162009509
328,1198,5,3.910737442
427,435,3,2.297575566
367,3751,5,3.539708664
599,97306,3,3.249417778
525,98243,3,3.821058248
111,78174,1.5,0.5
42,2735,4,2.849108229
606,2677,4,4.439685377
560,6863,3,3.35572387
19,422,3,2.798520184
51,3363,4.5,3.999160895
474,381,2.5,3.95348012
68,2096,3,3.299703497
189,7153,4,4.105367866
599,93723,1.5,
556,41566,3.5,3.972563832
596,3623,2.5,2.60416117
387,778,4.5,3.912546812
3,2090,0.5,2.114575735
1,3740,4,4.351259765
73,99106,1.5,3.5
217,357,3,3.114303484
438,43928,0.5,1.926356374
282,55765,4,4.215157004
310,1247,4.5,4.36864735
448,122924,2,2.527639244
91,2990,2,3.227866848
103,4848,5,3.956966375
380,3156,4,2.846331174
566,552,4,3.225529094
298,77561,3.5,3.095705817
599,31921,2.5,
381,4226,4.5,4.179270237
292,2376,4,3.317253459
43,596,5,4.275824456
50,127146,3,
46,185,4,3.738734672
564,119141,4.5,3.465288545
89,117590,4,3.595021757
217,1963,1,3.433655428
140,3107,3,3.477864031
125,4738,4,4.573469779
274,74532,2.5,2.813678824
382,1702,3.5,3.13121668
560,122890,3.5,3.844559659
48,1527,4,3.859033377
338,183897,1.5,3.63119784
567,162606,1,2.589952537
475,122882,4.5,4.189830558
290,2772,3,2.781652307
7,8665,3.5,3.603378235
282,1704,4.5,4.339457213
6,26,4,3.647666198
599,66171,2.5,3.5
610,46970,4,3.412492802
469,733,3,3.654303268
256,39183,2,3.75291966
312,3863,3,3.013179075
132,7034,3,3.7161008
480,8861,2,2.899537573
414,82202,3,2.367540546
274,5804,2.5,3
217,3363,3,3.909466198
387,356,4,3.935082527
227,81845,3.5,4.248889925
226,2011,4,3.602613159
368,1957,4,4.51325646
587,380,4,3.8690329
488,7139,2.5,4.170240505
135,231,2,3.221448825
535,2539,3,3.061443885
529,653,4,3.220249287
62,6058,3.5,3.105549771
448,80590,2,3.677350288
14,592,2,3.352051882
368,1210,4,3.870325245
534,3483,4.5,3.440052034
221,4128,3.5,3.894195517
29,56174,4,3.58016768
474,4034,4.5,3.949070022
448,7319,3,1.793559263
21,7569,4.5,3.907764043
43,231,3,3.861226583
112,25,2.5,3.268317218
414,3127,2,3.134899704
352,38038,3,3.613846052
502,3147,5,3.739831834
339,4848,5,3.908764986
19,2723,5,2.793814431
45,784,4,3.216447621
368,3272,3,3.424366203
27,1148,5,4.095477899
608,5452,1,1.984429657
125,70286,4,3.866032874
187,2700,4.5,3.689468507
606,8454,3.5,
551,112183,0.5,3.633444997
111,3988,3.5,3.040979096
285,474,3.5,4.211298536
370,4014,3,3.406134101
414,4103,5,4.037297748
474,1223,4.5,4.197023669
481,1653,3,3.958086852
606,1093,4,3.604844088
379,349,4,3.876709461
212,96079,4,3.775737699
160,4979,4.5,3.542277101
121,597,3,3.489042275
274,3285,2,3.16380586
437,527,5,4.413136879
577,494,3,3.340326276
414,97304,4,4.09246374
608,110,4,3.88910102
562,4135,5,
477,2450,0.5,2.843545843
213,1240,4,4.151368192
590,8807,2.5,3.273077161
259,4886,4,3.647727882
222,59014,2,3.5
606,6874,4.5,3.924103586
140,1252,3.5,4.271486185
606,3426,4,2.811215396
298,48780,2,3.863669649
599,47,4,3.70023603
305,107314,2.5,
28,44204,3,3.222210546
105,750,4,4.340061759
309,1263,3,3.887465648
567,104944,3.5,4
217,2733,2,2
246,7361,5,4.511945388
307,60487,4,3
27,5060,2,4.118167632
248,1291,4,3.840290548
19,842,2,2.073669863
332,7090,4.5,3.692536095
156,922,4,4.424790708
140,26865,1,4.236304045
303,1080,1,4.447605584
600,2174,4.5,3.380433974
489,923,3.5,3.949769841
560,134853,3.5,3.750203342
306,159858,4,0.5
4,3160,4,3.704233674
58,292,4,3.603678781
292,3682,4.5,4.155525074
91,1220,5,3.843376905
288,1591,3,2.280175847
76,541,3.5,3.971777601
380,171763,4,4.726029987
68,3105,3,3.705652352
105,107159,4,
418,4571,4,3.555550011
64,1673,4.5,4.288219842
457,2858,3,3.955448266
287,8622,4.5,3.274265202
39,2580,5,3.844540623
560,1210,4,4.175734028
18,86190,3.5,3.215579842
140,4047,4,3.615140042
256,90405,3.5,3.730404192
103,912,5,4.529929932
307,48394,3,3.799540842
146,502,2.5,2.297766505
24,50,4,4.213476732
599,1220,3.5,3.639739288
50,103228,2,3.250073462
232,4720,4,3.719701608
477,1392,4.5,3.908477303
457,2490,4,3.62477377
135,4881,3,4.013146515
608,5072,4.5,3.995636653
16,50,4,3.904306837
410,3823,4,
428,377,2.5,2.851948217
182,1769,3.5,2.860024619
169,1022,4,3.867408249
480,3355,4,3.02135186
68,2,2.5,3.263812395
307,39234,2.5,3.60251329
522,58295,4.5,3.759480357
64,4011,4.5,4.246406101
305,4016,3.5,3.866304798
219,5064,3.5,3.676681459
141,3489,4,3.255819824
230,2605,3.5,2.927110407
448,7373,3,3.197348404
462,102445,2,3.65782755
199,53550,3.5,3.170076194
125,95167,3.5,3.449319666
125,156371,4,3.5
445,527,3,4.149261601
317,7438,3,3.868112092
355,1198,5,4.341895454
169,4886,5,4.459902846
453,608,4,4.373132064
472,2431,4,3.987588799
606,4226,4,4.151257653
131,2393,3,2.986753791
354,7147,4.5,3.88382239
298,65982,3,2.843628283
382,61132,5,3.815036155
594,494,5,4.204473717
369,3033,4,3.419689572
75,435,1,2.452830372
381,2571,5,4.300443061
357,1101,4,3.274503762
357,918,5,3.906676177
480,2628,2,3.061972005
51,2762,5,4.058547307
474,586,2,2.934702013
298,149354,0.5,2.345939594
310,733,4,3.330556744
274,72378,2,2.668203552
156,2947,2,3.795681575
414,191,2,2.593933815
474,2261,2,3.195748715
280,73266,3,3.057244748
494,260,5,4.642375933
239,2302,3,3.388862808
610,7324,3,3.288356451
57,1,5,3.864510079
452,3273,4,2.891665052
217,2094,3,3.194092485
66,481,2,3.495293296
19,1848,2,2.94815988
580,1584,3.5,3.568200866
288,541,4,4.087488276
586,122918,5,4.425615841
517,2380,0.5,1.889795058
220,63113,3.5,3.677018119
560,56563,2.5,3.51706707
479,5568,2,2.988551055
28,2023,3.5,3.121645497
41,118900,4,2.365149122
305,142448,3,2.991562964
288,5378,3.5,3.231817563
116,1380,4.5,2.957579546
313,1449,5,3.639637745
522,2393,4,2.77494955
182,1197,3.5,4.176330582
420,8464,4.5,3.531980022
597,1196,5,4.412943845
313,2553,4,2.960803571
405,390,4,3.692537852
560,1196,4,4.140139466
438,186,3,3.060698538
495,4734,3.5,3.294941328
380,6281,3.5,3.295352369
129,32587,4.5,4.047591711
42,1663,4,4.032592305
309,2028,4.5,4.021615623
169,2028,5,4.594127969
6,881,3,2.477502073
509,1732,3.5,3.910375878
73,111320,1.5,
441,1517,5,4.29893387
100,2108,3.5,3.658121001
593,44191,4,3.711717299
610,60471,3.5,
68,2335,3,2.984026183
479,3361,4,3.724810781
564,106918,3.5,4.512521034
580,3556,5,3.812735347
274,4874,1,3.671200384
30,122904,5,4.734663055
156,1077,4,3.541821779
489,2124,2.5,3.267655598
186,916,5,4.248258846
64,2804,5,4.091252447
351,59369,4.5,3.71616468
469,3699,4,3.365568537
182,4056,3,2.657769594
6,719,2,3.317701437
346,527,3.5,4.215257825
528,3101,2.5,3.110819674
551,112175,3.5,3.790552799
226,2,3,3.466178654
226,2100,3,3.221205049
579,1580,4,4.200898362
83,318,5,4.503630199
368,1196,3,3.960069976
351,54787,3.5,
227,32,4.5,4.219798693
182,1546,3.5,
298,27808,2.5,3.128535687
38,161,4,3.518382634
452,924,3,3.967403755
351,6214,4,3.745301307
111,4228,2.5,1.644088637
599,104841,3,3.186605102
232,8360,3,3.667475158
105,1199,4,4.254868039
469,1747,3,3.463471439
509,48780,3.5,4.035028062
213,51662,3.5,4.003959932
217,2722,3,2.582833519
503,6711,3.5,3.828828618
115,1645,4,3.446327865
608,3752,4,3.042780171
288,2009,3,3.526588645
226,2329,4.5,4.345231322
68,2334,3.5,3.009909044
195,1573,3,3.493819605
275,1084,5,4.298927609
380,52950,2,3
371,4993,4.5,4.685925099
290,1674,4,3.835002665
246,7669,5,3.6356034
91,260,4.5,4.197087791
480,3168,3.5,3.603988876
12,838,5,4.636083931
606,2324,5,4.141680434
330,1288,4.5,3.81166812
63,1080,5,4.12422818
246,82202,4,2.551388222
34,2762,3,3.594156289
