movie_id,user_id,predicted,actual
1,1.0,3.951219512172814,4.0
1,5.0,4.117647058738754,4.0
1,7.0,3.76315789467867,4.5
1,15.0,4.076923076889053,2.5
1,17.0,3.37499999996875,4.5
1,18.0,3.9374999998437503,3.5
1,19.0,3.7500000000625002,4.0
1,21.0,3.961538461545858,3.5
1,27.0,3.7446808510367813,3.0
1,31.0,3.0,5.0
1,32.0,3.9090909090247927,3.0
1,33.0,3.6000000001599997,3.0
1,40.0,4.106382978690357,5.0
1,43.0,3.8461538464082836,5.0
1,44.0,4.60000000004,3.0
1,45.0,4.200000000079999,4.0
1,46.0,3.9090909090991737,5.0
1,50.0,4.0,3.0
1,54.0,4.294117647046712,3.0
1,57.0,3.606060606102541,5.0
1,63.0,3.8043478259792063,5.0
1,64.0,4.357142856892857,4.0
1,66.0,3.687500000054688,4.0
1,68.0,4.3076923077100595,2.5
1,71.0,3.2297297296015337,5.0
1,73.0,3.216216216097151,4.5
1,76.0,4.354838709722685,0.5
1,78.0,1.8684210528393352,4.0
1,82.0,3.124999999945313,2.5
1,86.0,2.8499999999950005,4.0
1,89.0,3.45454545468595,3.0
1,90.0,3.428571428530612,3.0
1,91.0,3.0,4.0
1,93.0,4.0,3.0
1,96.0,3.9193548386649333,5.0
1,98.0,4.333333333222223,4.5
1,103.0,4.4096385542336325,4.0
1,107.0,3.74257425743334,4.0
1,112.0,3.8735955056169993,3.0
1,119.0,3.830508474538063,3.5
1,121.0,3.55263157892567,4.0
1,124.0,3.619047619018519,4.0
1,130.0,2.6842105264196676,3.0
1,132.0,3.25000000003125,2.0
1,134.0,3.454545454413223,3.0
1,135.0,3.0909090909008268,4.0
1,137.0,3.4285714285306126,4.0
1,140.0,3.921052631540166,3.0
1,141.0,3.5000000002045453,4.0
1,144.0,4.4736842102853185,3.5
1,145.0,3.517241379315696,5.0
1,151.0,2.6842105264196676,5.0
1,153.0,4.0,2.0
1,155.0,3.687499999988281,3.0
1,156.0,3.10000000004,4.0
1,159.0,4.0,4.5
1,160.0,4.222222222203705,4.0
1,161.0,4.236842105342105,4.0
1,166.0,3.9230769232573963,5.0
1,167.0,4.857142857107142,3.5
1,169.0,4.437500000023437,4.5
1,171.0,4.342105263144044,5.0
1,177.0,4.0,5.0
1,178.0,4.444444444407408,4.0
1,179.0,4.2727272727933885,4.0
1,182.0,4.0,4.0
1,185.0,4.000000000000001,4.0
1,186.0,4.0,4.0
1,191.0,2.8461538463076925,4.0
1,193.0,3.909090909070248,2.0
1,200.0,4.699999999919999,3.5
1,201.0,3.863636363719008,5.0
1,202.0,4.571428571321428,4.0
1,206.0,4.189189189186815,5.0
1,213.0,3.1578947369196677,3.5
1,214.0,3.454545454549587,3.0
1,216.0,3.615384615289941,3.0
1,217.0,3.423076923204142,4.0
1,219.0,4.363636363421488,3.5
1,220.0,3.6000000000400005,5.0
1,223.0,4.045454545442149,3.5
1,226.0,4.249999999999999,3.5
1,229.0,3.3636363636280993,5.0
1,232.0,3.9090909093719013,3.5
1,233.0,4.3333333333888895,3.0
1,234.0,3.4473684212368423,5.0
1,239.0,4.756097560825699,4.0
1,240.0,4.11475409842596,5.0
1,247.0,4.318840579765805,5.0
1,249.0,4.741935483843913,4.0
1,252.0,4.435483870977108,4.5
1,254.0,4.466101694914393,4.5
1,263.0,3.6666666665432097,4.0
1,264.0,3.5294117646193772,4.0
1,266.0,4.285714285734694,2.0
1,269.0,4.368421052373962,5.0
1,270.0,4.454545454314049,5.0
1,273.0,4.3846153847100595,5.0
1,274.0,4.79999999992,4.0
1,275.0,4.166666666722222,5.0
1,276.0,4.39999999996,4.0
1,277.0,4.0,4.0
1,279.0,4.30769230764497,3.0
1,280.0,3.5000000001153846,4.5
1,282.0,3.4090909091900827,4.5
1,283.0,4.263157894620499,3.0
1,288.0,4.0,4.5
